Product_id,Product_Code,Warehouse,Product_Category,Date,Order_Demand,Open,Promo,StateHoliday,SchoolHoliday,Petrol_price
786725,Product_0033,Whse_S,Category_005,01/03/2016,16000,1,0,0,0,91
786743,Product_1825,Whse_S,Category_006,01/03/2016,50000,1,0,0,0,85
786967,Product_0551,Whse_S,Category_030,01/03/2016,3000,1,0,0,0,85
786856,Product_0556,Whse_S,Category_030,01/03/2016,1000,1,0,0,0,93
899538,Product_1844,Whse_A,Category_018,01/03/2016,7,1,0,0,0,95
786726,Product_0470,Whse_S,Category_005,01/03/2016,2000,1,0,0,0,80
899733,Product_0643,Whse_A,Category_028,01/03/2016,2,1,0,0,0,85
899398,Product_0650,Whse_A,Category_022,01/03/2016,300,1,0,0,0,88
786806,Product_1429,Whse_S,Category_019,01/03/2016,3000,1,0,0,0,95
899734,Product_0982,Whse_A,Category_028,01/03/2016,5000,1,0,0,0,92
899537,Product_0951,Whse_A,Category_018,01/03/2016,20,1,0,0,0,81
786962,Product_1263,Whse_S,Category_019,01/03/2016,15000,1,0,0,0,85
786963,Product_1387,Whse_S,Category_019,01/03/2016,100,1,0,0,0,91
899469,Product_1751,Whse_A,Category_001,01/03/2016,10,1,0,0,0,90
986535,Product_2052,Whse_A,Category_021,01/04/2016,16,1,0,0,0,94
981631,Product_1509,Whse_A,Category_019,01/04/2016,400,1,0,0,0,96
907388,Product_1101,Whse_C,Category_032,01/04/2016,10000,1,0,0,0,89
899539,Product_0946,Whse_A,Category_018,01/04/2016,1,1,0,0,0,95
906633,Product_0439,Whse_C,Category_012,01/04/2016,40,1,0,0,0,84
983051,Product_1384,Whse_A,Category_019,01/04/2016,0,1,0,0,0,89
903938,Product_1970,Whse_C,Category_005,01/04/2016,1000,1,0,0,0,89
903939,Product_1970,Whse_C,Category_005,01/04/2016,10000,1,0,0,0,95
983053,Product_1276,Whse_A,Category_019,01/04/2016,0,1,0,0,0,92
983052,Product_1276,Whse_A,Category_019,01/04/2016,1800,1,0,0,0,92
983720,Product_0987,Whse_A,Category_028,01/04/2016,0,1,0,0,0,83
786800,Product_0070,Whse_S,Category_019,01/04/2016,10000,1,0,0,0,94
998578,Product_1812,Whse_S,Category_006,01/04/2016,5000,1,0,0,0,88
862530,Product_0524,Whse_S,Category_022,01/04/2016,8,1,0,0,0,88
786801,Product_1224,Whse_S,Category_019,01/04/2016,5000,1,0,0,0,89
981632,Product_1509,Whse_A,Category_019,01/04/2016,600,1,0,0,0,83
864894,Product_0517,Whse_S,Category_022,01/04/2016,20,1,0,0,0,91
846450,Product_0411,Whse_S,Category_030,01/04/2016,1000,1,0,0,0,80
866713,Product_0613,Whse_S,Category_001,01/04/2016,11,1,0,0,0,94
983719,Product_0982,Whse_A,Category_028,01/04/2016,0,1,0,0,0,85
786803,Product_0063,Whse_S,Category_019,01/04/2016,10000,1,0,0,0,89
786804,Product_1216,Whse_S,Category_019,01/04/2016,1000,1,0,0,0,93
786805,Product_1429,Whse_S,Category_019,01/04/2016,6000,1,0,0,0,91
987777,Product_1388,Whse_A,Category_019,01/04/2016,600,1,0,0,0,96
